,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
Rw68,SF-BE-r2-p1552,SF-BE-r2-p1584,SF-BE-r2-p1616,SF-BE-r2-p1648,SF-BE-r2-p1700,SF-BE-r2-p1752,SF-BE-r2-p1804,SF-BE-r2-p1856,SF-BE-r2-p1908,SF-BE-r2-p1960,SF-BE-r2-p2012,SF-BE-r2-p2064,SF-BE-r2-p2116,SF-BE-r2-p2168,SF-BE-r2-p2220,SF-BE-r2-p2272,SF-BE-r2-p2324,SF-BE-r2-p2376,SF-BE-r2-p2428,SF-BE-r2-p2480,SF-BE-r2-p2532,SF-BE-r2-p2584,SF-BE-r2-p2636,SF-BE-r2-p2688,SF-BE-r2-p2740,SF-BE-r2-p2792,SF-BE-r2-p2844,SF-BE-r2-p2896,SF-BE-r2-p2944,SF-BE-r2-p2976,SF-BE-r2-p3008,SF-BE-r2-p3040
Rw69,SF-BE-r2-p1553,SF-BE-r2-p1585,SF-BE-r2-p1617,SF-BE-r2-p1649,SF-BE-r2-p1701,SF-BE-r2-p1753,SF-BE-r2-p1805,SF-BE-r2-p1857,SF-BE-r2-p1909,SF-BE-r2-p1961,SF-BE-r2-p2013,SF-BE-r2-p2065,SF-BE-r2-p2117,SF-BE-r2-p2169,SF-BE-r2-p2221,SF-BE-r2-p2273,SF-BE-r2-p2325,SF-BE-r2-p2377,SF-BE-r2-p2429,SF-BE-r2-p2481,SF-BE-r2-p2533,SF-BE-r2-p2585,SF-BE-r2-p2637,SF-BE-r2-p2689,SF-BE-r2-p2741,SF-BE-r2-p2793,SF-BE-r2-p2845,SF-BE-r2-p2897,SF-BE-r2-p2945,SF-BE-r2-p2977,SF-BE-r2-p3009,SF-BE-r2-p3041
Rw70,SF-BE-r2-p1554,SF-BE-r2-p1586,SF-BE-r2-p1618,SF-BE-r2-p1650,SF-BE-r2-p1702,SF-BE-r2-p1754,SF-BE-r2-p1806,SF-BE-r2-p1858,SF-BE-r2-p1910,SF-BE-r2-p1962,SF-BE-r2-p2014,SF-BE-r2-p2066,SF-BE-r2-p2118,SF-BE-r2-p2170,SF-BE-r2-p2222,SF-BE-r2-p2274,SF-BE-r2-p2326,SF-BE-r2-p2378,SF-BE-r2-p2430,SF-BE-r2-p2482,SF-BE-r2-p2534,SF-BE-r2-p2586,SF-BE-r2-p2638,SF-BE-r2-p2690,SF-BE-r2-p2742,SF-BE-r2-p2794,SF-BE-r2-p2846,SF-BE-r2-p2898,SF-BE-r2-p2946,SF-BE-r2-p2978,SF-BE-r2-p3010,SF-BE-r2-p3042
Rw71,SF-BE-r2-p1555,SF-BE-r2-p1587,SF-BE-r2-p1619,SF-BE-r2-p1651,SF-BE-r2-p1703,SF-BE-r2-p1755,SF-BE-r2-p1807,SF-BE-r2-p1859,SF-BE-r2-p1911,SF-BE-r2-p1963,SF-BE-r2-p2015,SF-BE-r2-p2067,SF-BE-r2-p2119,SF-BE-r2-p2171,SF-BE-r2-p2223,SF-BE-r2-p2275,SF-BE-r2-p2327,SF-BE-r2-p2379,SF-BE-r2-p2431,SF-BE-r2-p2483,SF-BE-r2-p2535,SF-BE-r2-p2587,SF-BE-r2-p2639,SF-BE-r2-p2691,SF-BE-r2-p2743,SF-BE-r2-p2795,SF-BE-r2-p2847,SF-BE-r2-p2899,SF-BE-r2-p2947,SF-BE-r2-p2979,SF-BE-r2-p3011,SF-BE-r2-p3043
Rw72,SF-BE-r2-p1556,SF-BE-r2-p1588,SF-BE-r2-p1620,SF-BE-r2-p1652,SF-BE-r2-p1704,SF-BE-r2-p1756,SF-BE-r2-p1808,SF-BE-r2-p1860,SF-BE-r2-p1912,SF-BE-r2-p1964,SF-BE-r2-p2016,SF-BE-r2-p2068,SF-BE-r2-p2120,SF-BE-r2-p2172,SF-BE-r2-p2224,SF-BE-r2-p2276,SF-BE-r2-p2328,SF-BE-r2-p2380,SF-BE-r2-p2432,SF-BE-r2-p2484,SF-BE-r2-p2536,SF-BE-r2-p2588,SF-BE-r2-p2640,SF-BE-r2-p2692,SF-BE-r2-p2744,SF-BE-r2-p2796,SF-BE-r2-p2848,SF-BE-r2-p2900,SF-BE-r2-p2948,SF-BE-r2-p2980,SF-BE-r2-p3012,SF-BE-r2-p3044
Rw73,SF-BE-r2-p1557,SF-BE-r2-p1589,SF-BE-r2-p1621,SF-BE-r2-p1653,SF-BE-r2-p1705,SF-BE-r2-p1757,SF-BE-r2-p1809,SF-BE-r2-p1861,SF-BE-r2-p1913,SF-BE-r2-p1965,SF-BE-r2-p2017,SF-BE-r2-p2069,SF-BE-r2-p2121,SF-BE-r2-p2173,SF-BE-r2-p2225,SF-BE-r2-p2277,SF-BE-r2-p2329,SF-BE-r2-p2381,SF-BE-r2-p2433,SF-BE-r2-p2485,SF-BE-r2-p2537,SF-BE-r2-p2589,SF-BE-r2-p2641,SF-BE-r2-p2693,SF-BE-r2-p2745,SF-BE-r2-p2797,SF-BE-r2-p2849,SF-BE-r2-p2901,SF-BE-r2-p2949,SF-BE-r2-p2981,SF-BE-r2-p3013,SF-BE-r2-p3045
Rw74,SF-BE-r2-p1558,SF-BE-r2-p1590,SF-BE-r2-p1622,SF-BE-r2-p1654,SF-BE-r2-p1706,SF-BE-r2-p1758,SF-BE-r2-p1810,SF-BE-r2-p1862,SF-BE-r2-p1914,SF-BE-r2-p1966,SF-BE-r2-p2018,SF-BE-r2-p2070,SF-BE-r2-p2122,SF-BE-r2-p2174,SF-BE-r2-p2226,SF-BE-r2-p2278,SF-BE-r2-p2330,SF-BE-r2-p2382,SF-BE-r2-p2434,SF-BE-r2-p2486,SF-BE-r2-p2538,SF-BE-r2-p2590,SF-BE-r2-p2642,SF-BE-r2-p2694,SF-BE-r2-p2746,SF-BE-r2-p2798,SF-BE-r2-p2850,SF-BE-r2-p2902,SF-BE-r2-p2950,SF-BE-r2-p2982,SF-BE-r2-p3014,SF-BE-r2-p3046
Rw75,SF-BE-r2-p1559,SF-BE-r2-p1591,SF-BE-r2-p1623,SF-BE-r2-p1655,SF-BE-r2-p1707,SF-BE-r2-p1759,SF-BE-r2-p1811,SF-BE-r2-p1863,SF-BE-r2-p1915,SF-BE-r2-p1967,SF-BE-r2-p2019,SF-BE-r2-p2071,SF-BE-r2-p2123,SF-BE-r2-p2175,SF-BE-r2-p2227,SF-BE-r2-p2279,SF-BE-r2-p2331,SF-BE-r2-p2383,SF-BE-r2-p2435,SF-BE-r2-p2487,SF-BE-r2-p2539,SF-BE-r2-p2591,SF-BE-r2-p2643,SF-BE-r2-p2695,SF-BE-r2-p2747,SF-BE-r2-p2799,SF-BE-r2-p2851,SF-BE-r2-p2903,SF-BE-r2-p2951,SF-BE-r2-p2983,SF-BE-r2-p3015,SF-BE-r2-p3047
Rw76,SF-BE-r2-p1560,SF-BE-r2-p1592,SF-BE-r2-p1624,SF-BE-r2-p1656,SF-BE-r2-p1708,SF-BE-r2-p1760,SF-BE-r2-p1812,SF-BE-r2-p1864,SF-BE-r2-p1916,SF-BE-r2-p1968,SF-BE-r2-p2020,SF-BE-r2-p2072,SF-BE-r2-p2124,SF-BE-r2-p2176,SF-BE-r2-p2228,SF-BE-r2-p2280,SF-BE-r2-p2332,SF-BE-r2-p2384,SF-BE-r2-p2436,SF-BE-r2-p2488,SF-BE-r2-p2540,SF-BE-r2-p2592,SF-BE-r2-p2644,SF-BE-r2-p2696,SF-BE-r2-p2748,SF-BE-r2-p2800,SF-BE-r2-p2852,SF-BE-r2-p2904,SF-BE-r2-p2952,SF-BE-r2-p2984,SF-BE-r2-p3016,SF-BE-r2-p3048
Rw77,SF-BE-r2-p1561,SF-BE-r2-p1593,SF-BE-r2-p1625,SF-BE-r2-p1657,SF-BE-r2-p1709,SF-BE-r2-p1761,SF-BE-r2-p1813,SF-BE-r2-p1865,SF-BE-r2-p1917,SF-BE-r2-p1969,SF-BE-r2-p2021,SF-BE-r2-p2073,SF-BE-r2-p2125,SF-BE-r2-p2177,SF-BE-r2-p2229,SF-BE-r2-p2281,SF-BE-r2-p2333,SF-BE-r2-p2385,SF-BE-r2-p2437,SF-BE-r2-p2489,SF-BE-r2-p2541,SF-BE-r2-p2593,SF-BE-r2-p2645,SF-BE-r2-p2697,SF-BE-r2-p2749,SF-BE-r2-p2801,SF-BE-r2-p2853,SF-BE-r2-p2905,SF-BE-r2-p2953,SF-BE-r2-p2985,SF-BE-r2-p3017,SF-BE-r2-p3049
Rw78,SF-BE-r2-p1562,SF-BE-r2-p1594,SF-BE-r2-p1626,SF-BE-r2-p1658,SF-BE-r2-p1710,SF-BE-r2-p1762,SF-BE-r2-p1814,SF-BE-r2-p1866,SF-BE-r2-p1918,SF-BE-r2-p1970,SF-BE-r2-p2022,SF-BE-r2-p2074,SF-BE-r2-p2126,SF-BE-r2-p2178,SF-BE-r2-p2230,SF-BE-r2-p2282,SF-BE-r2-p2334,SF-BE-r2-p2386,SF-BE-r2-p2438,SF-BE-r2-p2490,SF-BE-r2-p2542,SF-BE-r2-p2594,SF-BE-r2-p2646,SF-BE-r2-p2698,SF-BE-r2-p2750,SF-BE-r2-p2802,SF-BE-r2-p2854,SF-BE-r2-p2906,SF-BE-r2-p2954,SF-BE-r2-p2986,SF-BE-r2-p3018,SF-BE-r2-p3050
Rw79,SF-BE-r2-p1563,SF-BE-r2-p1595,SF-BE-r2-p1627,SF-BE-r2-p1659,SF-BE-r2-p1711,SF-BE-r2-p1763,SF-BE-r2-p1815,SF-BE-r2-p1867,SF-BE-r2-p1919,SF-BE-r2-p1971,SF-BE-r2-p2023,SF-BE-r2-p2075,SF-BE-r2-p2127,SF-BE-r2-p2179,SF-BE-r2-p2231,SF-BE-r2-p2283,SF-BE-r2-p2335,SF-BE-r2-p2387,SF-BE-r2-p2439,SF-BE-r2-p2491,SF-BE-r2-p2543,SF-BE-r2-p2595,SF-BE-r2-p2647,SF-BE-r2-p2699,SF-BE-r2-p2751,SF-BE-r2-p2803,SF-BE-r2-p2855,SF-BE-r2-p2907,SF-BE-r2-p2955,SF-BE-r2-p2987,SF-BE-r2-p3019,SF-BE-r2-p3051
Rw80,SF-BE-r2-p1564,SF-BE-r2-p1596,SF-BE-r2-p1628,SF-BE-r2-p1660,SF-BE-r2-p1712,SF-BE-r2-p1764,SF-BE-r2-p1816,SF-BE-r2-p1868,SF-BE-r2-p1920,SF-BE-r2-p1972,SF-BE-r2-p2024,SF-BE-r2-p2076,SF-BE-r2-p2128,SF-BE-r2-p2180,SF-BE-r2-p2232,SF-BE-r2-p2284,SF-BE-r2-p2336,SF-BE-r2-p2388,SF-BE-r2-p2440,SF-BE-r2-p2492,SF-BE-r2-p2544,SF-BE-r2-p2596,SF-BE-r2-p2648,SF-BE-r2-p2700,SF-BE-r2-p2752,SF-BE-r2-p2804,SF-BE-r2-p2856,SF-BE-r2-p2908,SF-BE-r2-p2956,SF-BE-r2-p2988,SF-BE-r2-p3020,SF-BE-r2-p3052
Rw81,SF-BE-r2-p1565,SF-BE-r2-p1597,SF-BE-r2-p1629,SF-BE-r2-p1661,SF-BE-r2-p1713,SF-BE-r2-p1765,SF-BE-r2-p1817,SF-BE-r2-p1869,SF-BE-r2-p1921,SF-BE-r2-p1973,SF-BE-r2-p2025,SF-BE-r2-p2077,SF-BE-r2-p2129,SF-BE-r2-p2181,SF-BE-r2-p2233,SF-BE-r2-p2285,SF-BE-r2-p2337,SF-BE-r2-p2389,SF-BE-r2-p2441,SF-BE-r2-p2493,SF-BE-r2-p2545,SF-BE-r2-p2597,SF-BE-r2-p2649,SF-BE-r2-p2701,SF-BE-r2-p2753,SF-BE-r2-p2805,SF-BE-r2-p2857,SF-BE-r2-p2909,SF-BE-r2-p2957,SF-BE-r2-p2989,SF-BE-r2-p3021,SF-BE-r2-p3053
Rw82,SF-BE-r2-p1566,SF-BE-r2-p1598,SF-BE-r2-p1630,SF-BE-r2-p1662,SF-BE-r2-p1714,SF-BE-r2-p1766,SF-BE-r2-p1818,SF-BE-r2-p1870,SF-BE-r2-p1922,SF-BE-r2-p1974,SF-BE-r2-p2026,SF-BE-r2-p2078,SF-BE-r2-p2130,SF-BE-r2-p2182,SF-BE-r2-p2234,SF-BE-r2-p2286,SF-BE-r2-p2338,SF-BE-r2-p2390,SF-BE-r2-p2442,SF-BE-r2-p2494,SF-BE-r2-p2546,SF-BE-r2-p2598,SF-BE-r2-p2650,SF-BE-r2-p2702,SF-BE-r2-p2754,SF-BE-r2-p2806,SF-BE-r2-p2858,SF-BE-r2-p2910,SF-BE-r2-p2958,SF-BE-r2-p2990,SF-BE-r2-p3022,SF-BE-r2-p3054
Rw83,SF-BE-r2-p1567,SF-BE-r2-p1599,SF-BE-r2-p1631,SF-BE-r2-p1663,SF-BE-r2-p1715,SF-BE-r2-p1767,SF-BE-r2-p1819,SF-BE-r2-p1871,SF-BE-r2-p1923,SF-BE-r2-p1975,SF-BE-r2-p2027,SF-BE-r2-p2079,SF-BE-r2-p2131,SF-BE-r2-p2183,SF-BE-r2-p2235,SF-BE-r2-p2287,SF-BE-r2-p2339,SF-BE-r2-p2391,SF-BE-r2-p2443,SF-BE-r2-p2495,SF-BE-r2-p2547,SF-BE-r2-p2599,SF-BE-r2-p2651,SF-BE-r2-p2703,SF-BE-r2-p2755,SF-BE-r2-p2807,SF-BE-r2-p2859,SF-BE-r2-p2911,SF-BE-r2-p2959,SF-BE-r2-p2991,SF-BE-r2-p3023,SF-BE-r2-p3055
Rw84,SF-BE-r2-p1568,SF-BE-r2-p1600,SF-BE-r2-p1632,SF-BE-r2-p1664,SF-BE-r2-p1716,SF-BE-r2-p1768,SF-BE-r2-p1820,SF-BE-r2-p1872,SF-BE-r2-p1924,SF-BE-r2-p1976,SF-BE-r2-p2028,SF-BE-r2-p2080,SF-BE-r2-p2132,SF-BE-r2-p2184,SF-BE-r2-p2236,SF-BE-r2-p2288,SF-BE-r2-p2340,SF-BE-r2-p2392,SF-BE-r2-p2444,SF-BE-r2-p2496,SF-BE-r2-p2548,SF-BE-r2-p2600,SF-BE-r2-p2652,SF-BE-r2-p2704,SF-BE-r2-p2756,SF-BE-r2-p2808,SF-BE-r2-p2860,SF-BE-r2-p2912,SF-BE-r2-p2960,SF-BE-r2-p2992,SF-BE-r2-p3024,SF-BE-r2-p3056
Rw85,NA,NA,NA,SF-BE-r2-p1665,SF-BE-r2-p1717,SF-BE-r2-p1769,SF-BE-r2-p1821,SF-BE-r2-p1873,SF-BE-r2-p1925,SF-BE-r2-p1977,SF-BE-r2-p2029,SF-BE-r2-p2081,SF-BE-r2-p2133,SF-BE-r2-p2185,SF-BE-r2-p2237,SF-BE-r2-p2289,SF-BE-r2-p2341,SF-BE-r2-p2393,SF-BE-r2-p2445,SF-BE-r2-p2497,SF-BE-r2-p2549,SF-BE-r2-p2601,SF-BE-r2-p2653,SF-BE-r2-p2705,SF-BE-r2-p2757,SF-BE-r2-p2809,SF-BE-r2-p2861,SF-BE-r2-p2913,NA,NA,NA,NA
Rw86,NA,NA,NA,SF-BE-r2-p1666,SF-BE-r2-p1718,SF-BE-r2-p1770,SF-BE-r2-p1822,SF-BE-r2-p1874,SF-BE-r2-p1926,SF-BE-r2-p1978,SF-BE-r2-p2030,SF-BE-r2-p2082,SF-BE-r2-p2134,SF-BE-r2-p2186,SF-BE-r2-p2238,SF-BE-r2-p2290,SF-BE-r2-p2342,SF-BE-r2-p2394,SF-BE-r2-p2446,SF-BE-r2-p2498,SF-BE-r2-p2550,SF-BE-r2-p2602,SF-BE-r2-p2654,SF-BE-r2-p2706,SF-BE-r2-p2758,SF-BE-r2-p2810,SF-BE-r2-p2862,SF-BE-r2-p2914,NA,NA,NA,NA
Rw87,NA,NA,NA,SF-BE-r2-p1667,SF-BE-r2-p1719,SF-BE-r2-p1771,SF-BE-r2-p1823,SF-BE-r2-p1875,SF-BE-r2-p1927,SF-BE-r2-p1979,SF-BE-r2-p2031,SF-BE-r2-p2083,SF-BE-r2-p2135,SF-BE-r2-p2187,SF-BE-r2-p2239,SF-BE-r2-p2291,SF-BE-r2-p2343,SF-BE-r2-p2395,SF-BE-r2-p2447,SF-BE-r2-p2499,SF-BE-r2-p2551,SF-BE-r2-p2603,SF-BE-r2-p2655,SF-BE-r2-p2707,SF-BE-r2-p2759,SF-BE-r2-p2811,SF-BE-r2-p2863,SF-BE-r2-p2915,NA,NA,NA,NA
Rw88,NA,NA,NA,SF-BE-r2-p1668,SF-BE-r2-p1720,SF-BE-r2-p1772,SF-BE-r2-p1824,SF-BE-r2-p1876,SF-BE-r2-p1928,SF-BE-r2-p1980,SF-BE-r2-p2032,SF-BE-r2-p2084,SF-BE-r2-p2136,SF-BE-r2-p2188,SF-BE-r2-p2240,SF-BE-r2-p2292,SF-BE-r2-p2344,SF-BE-r2-p2396,SF-BE-r2-p2448,SF-BE-r2-p2500,SF-BE-r2-p2552,SF-BE-r2-p2604,SF-BE-r2-p2656,SF-BE-r2-p2708,SF-BE-r2-p2760,SF-BE-r2-p2812,SF-BE-r2-p2864,SF-BE-r2-p2916,NA,NA,NA,NA
Rw89,NA,NA,NA,SF-BE-r2-p1669,SF-BE-r2-p1721,SF-BE-r2-p1773,SF-BE-r2-p1825,SF-BE-r2-p1877,SF-BE-r2-p1929,SF-BE-r2-p1981,SF-BE-r2-p2033,SF-BE-r2-p2085,SF-BE-r2-p2137,SF-BE-r2-p2189,SF-BE-r2-p2241,SF-BE-r2-p2293,SF-BE-r2-p2345,SF-BE-r2-p2397,SF-BE-r2-p2449,SF-BE-r2-p2501,SF-BE-r2-p2553,SF-BE-r2-p2605,SF-BE-r2-p2657,SF-BE-r2-p2709,SF-BE-r2-p2761,SF-BE-r2-p2813,SF-BE-r2-p2865,SF-BE-r2-p2917,NA,NA,NA,NA
Rw90,NA,NA,NA,SF-BE-r2-p1670,SF-BE-r2-p1722,SF-BE-r2-p1774,SF-BE-r2-p1826,SF-BE-r2-p1878,SF-BE-r2-p1930,SF-BE-r2-p1982,SF-BE-r2-p2034,SF-BE-r2-p2086,SF-BE-r2-p2138,SF-BE-r2-p2190,SF-BE-r2-p2242,SF-BE-r2-p2294,SF-BE-r2-p2346,SF-BE-r2-p2398,SF-BE-r2-p2450,SF-BE-r2-p2502,SF-BE-r2-p2554,SF-BE-r2-p2606,SF-BE-r2-p2658,SF-BE-r2-p2710,SF-BE-r2-p2762,SF-BE-r2-p2814,SF-BE-r2-p2866,SF-BE-r2-p2918,NA,NA,NA,NA
Rw91,NA,NA,NA,SF-BE-r2-p1671,SF-BE-r2-p1723,SF-BE-r2-p1775,SF-BE-r2-p1827,SF-BE-r2-p1879,SF-BE-r2-p1931,SF-BE-r2-p1983,SF-BE-r2-p2035,SF-BE-r2-p2087,SF-BE-r2-p2139,SF-BE-r2-p2191,SF-BE-r2-p2243,SF-BE-r2-p2295,SF-BE-r2-p2347,SF-BE-r2-p2399,SF-BE-r2-p2451,SF-BE-r2-p2503,SF-BE-r2-p2555,SF-BE-r2-p2607,SF-BE-r2-p2659,SF-BE-r2-p2711,SF-BE-r2-p2763,SF-BE-r2-p2815,SF-BE-r2-p2867,SF-BE-r2-p2919,NA,NA,NA,NA
Rw92,NA,NA,NA,SF-BE-r2-p1672,SF-BE-r2-p1724,SF-BE-r2-p1776,SF-BE-r2-p1828,SF-BE-r2-p1880,SF-BE-r2-p1932,SF-BE-r2-p1984,SF-BE-r2-p2036,SF-BE-r2-p2088,SF-BE-r2-p2140,SF-BE-r2-p2192,SF-BE-r2-p2244,SF-BE-r2-p2296,SF-BE-r2-p2348,SF-BE-r2-p2400,SF-BE-r2-p2452,SF-BE-r2-p2504,SF-BE-r2-p2556,SF-BE-r2-p2608,SF-BE-r2-p2660,SF-BE-r2-p2712,SF-BE-r2-p2764,SF-BE-r2-p2816,SF-BE-r2-p2868,SF-BE-r2-p2920,NA,NA,NA,NA
Rw93,NA,NA,NA,SF-BE-r2-p1673,SF-BE-r2-p1725,SF-BE-r2-p1777,SF-BE-r2-p1829,SF-BE-r2-p1881,SF-BE-r2-p1933,SF-BE-r2-p1985,SF-BE-r2-p2037,SF-BE-r2-p2089,SF-BE-r2-p2141,SF-BE-r2-p2193,SF-BE-r2-p2245,SF-BE-r2-p2297,SF-BE-r2-p2349,SF-BE-r2-p2401,SF-BE-r2-p2453,SF-BE-r2-p2505,SF-BE-r2-p2557,SF-BE-r2-p2609,SF-BE-r2-p2661,SF-BE-r2-p2713,SF-BE-r2-p2765,SF-BE-r2-p2817,SF-BE-r2-p2869,SF-BE-r2-p2921,NA,NA,NA,NA
Rw94,NA,NA,NA,SF-BE-r2-p1674,SF-BE-r2-p1726,SF-BE-r2-p1778,SF-BE-r2-p1830,SF-BE-r2-p1882,SF-BE-r2-p1934,SF-BE-r2-p1986,SF-BE-r2-p2038,SF-BE-r2-p2090,SF-BE-r2-p2142,SF-BE-r2-p2194,SF-BE-r2-p2246,SF-BE-r2-p2298,SF-BE-r2-p2350,SF-BE-r2-p2402,SF-BE-r2-p2454,SF-BE-r2-p2506,SF-BE-r2-p2558,SF-BE-r2-p2610,SF-BE-r2-p2662,SF-BE-r2-p2714,SF-BE-r2-p2766,SF-BE-r2-p2818,SF-BE-r2-p2870,SF-BE-r2-p2922,NA,NA,NA,NA
Rw95,NA,NA,NA,SF-BE-r2-p1675,SF-BE-r2-p1727,SF-BE-r2-p1779,SF-BE-r2-p1831,SF-BE-r2-p1883,SF-BE-r2-p1935,SF-BE-r2-p1987,SF-BE-r2-p2039,SF-BE-r2-p2091,SF-BE-r2-p2143,SF-BE-r2-p2195,SF-BE-r2-p2247,SF-BE-r2-p2299,SF-BE-r2-p2351,SF-BE-r2-p2403,SF-BE-r2-p2455,SF-BE-r2-p2507,SF-BE-r2-p2559,SF-BE-r2-p2611,SF-BE-r2-p2663,SF-BE-r2-p2715,SF-BE-r2-p2767,SF-BE-r2-p2819,SF-BE-r2-p2871,SF-BE-r2-p2923,NA,NA,NA,NA
Rw96,NA,NA,NA,SF-BE-r2-p1676,SF-BE-r2-p1728,SF-BE-r2-p1780,SF-BE-r2-p1832,SF-BE-r2-p1884,SF-BE-r2-p1936,SF-BE-r2-p1988,SF-BE-r2-p2040,SF-BE-r2-p2092,SF-BE-r2-p2144,SF-BE-r2-p2196,SF-BE-r2-p2248,SF-BE-r2-p2300,SF-BE-r2-p2352,SF-BE-r2-p2404,SF-BE-r2-p2456,SF-BE-r2-p2508,SF-BE-r2-p2560,SF-BE-r2-p2612,SF-BE-r2-p2664,SF-BE-r2-p2716,SF-BE-r2-p2768,SF-BE-r2-p2820,SF-BE-r2-p2872,SF-BE-r2-p2924,NA,NA,NA,NA
Rw97,NA,NA,NA,SF-BE-r2-p1677,SF-BE-r2-p1729,SF-BE-r2-p1781,SF-BE-r2-p1833,SF-BE-r2-p1885,SF-BE-r2-p1937,SF-BE-r2-p1989,SF-BE-r2-p2041,SF-BE-r2-p2093,SF-BE-r2-p2145,SF-BE-r2-p2197,SF-BE-r2-p2249,SF-BE-r2-p2301,SF-BE-r2-p2353,SF-BE-r2-p2405,SF-BE-r2-p2457,SF-BE-r2-p2509,SF-BE-r2-p2561,SF-BE-r2-p2613,SF-BE-r2-p2665,SF-BE-r2-p2717,SF-BE-r2-p2769,SF-BE-r2-p2821,SF-BE-r2-p2873,SF-BE-r2-p2925,NA,NA,NA,NA
Rw98,NA,NA,NA,SF-BE-r2-p1678,SF-BE-r2-p1730,SF-BE-r2-p1782,SF-BE-r2-p1834,SF-BE-r2-p1886,SF-BE-r2-p1938,SF-BE-r2-p1990,SF-BE-r2-p2042,SF-BE-r2-p2094,SF-BE-r2-p2146,SF-BE-r2-p2198,SF-BE-r2-p2250,SF-BE-r2-p2302,SF-BE-r2-p2354,SF-BE-r2-p2406,SF-BE-r2-p2458,SF-BE-r2-p2510,SF-BE-r2-p2562,SF-BE-r2-p2614,SF-BE-r2-p2666,SF-BE-r2-p2718,SF-BE-r2-p2770,SF-BE-r2-p2822,SF-BE-r2-p2874,SF-BE-r2-p2926,NA,NA,NA,NA
Rw99,NA,NA,NA,SF-BE-r2-p1679,SF-BE-r2-p1731,SF-BE-r2-p1783,SF-BE-r2-p1835,SF-BE-r2-p1887,SF-BE-r2-p1939,SF-BE-r2-p1991,SF-BE-r2-p2043,SF-BE-r2-p2095,SF-BE-r2-p2147,SF-BE-r2-p2199,SF-BE-r2-p2251,SF-BE-r2-p2303,SF-BE-r2-p2355,SF-BE-r2-p2407,SF-BE-r2-p2459,SF-BE-r2-p2511,SF-BE-r2-p2563,SF-BE-r2-p2615,SF-BE-r2-p2667,SF-BE-r2-p2719,SF-BE-r2-p2771,SF-BE-r2-p2823,SF-BE-r2-p2875,SF-BE-r2-p2927,NA,NA,NA,NA
Rw100,NA,NA,NA,SF-BE-r2-p1680,SF-BE-r2-p1732,SF-BE-r2-p1784,SF-BE-r2-p1836,SF-BE-r2-p1888,SF-BE-r2-p1940,SF-BE-r2-p1992,SF-BE-r2-p2044,SF-BE-r2-p2096,SF-BE-r2-p2148,SF-BE-r2-p2200,SF-BE-r2-p2252,SF-BE-r2-p2304,SF-BE-r2-p2356,SF-BE-r2-p2408,SF-BE-r2-p2460,SF-BE-r2-p2512,SF-BE-r2-p2564,SF-BE-r2-p2616,SF-BE-r2-p2668,SF-BE-r2-p2720,SF-BE-r2-p2772,SF-BE-r2-p2824,SF-BE-r2-p2876,SF-BE-r2-p2928,NA,NA,NA,NA
Rw101,NA,NA,NA,SF-BE-r2-p1681,SF-BE-r2-p1733,SF-BE-r2-p1785,SF-BE-r2-p1837,SF-BE-r2-p1889,SF-BE-r2-p1941,SF-BE-r2-p1993,SF-BE-r2-p2045,SF-BE-r2-p2097,SF-BE-r2-p2149,SF-BE-r2-p2201,SF-BE-r2-p2253,SF-BE-r2-p2305,SF-BE-r2-p2357,SF-BE-r2-p2409,SF-BE-r2-p2461,SF-BE-r2-p2513,SF-BE-r2-p2565,SF-BE-r2-p2617,SF-BE-r2-p2669,SF-BE-r2-p2721,SF-BE-r2-p2773,SF-BE-r2-p2825,SF-BE-r2-p2877,NA,NA,NA,NA,NA
Rw102,NA,NA,NA,SF-BE-r2-p1682,SF-BE-r2-p1734,SF-BE-r2-p1786,SF-BE-r2-p1838,SF-BE-r2-p1890,SF-BE-r2-p1942,SF-BE-r2-p1994,SF-BE-r2-p2046,SF-BE-r2-p2098,SF-BE-r2-p2150,SF-BE-r2-p2202,SF-BE-r2-p2254,SF-BE-r2-p2306,SF-BE-r2-p2358,SF-BE-r2-p2410,SF-BE-r2-p2462,SF-BE-r2-p2514,SF-BE-r2-p2566,SF-BE-r2-p2618,SF-BE-r2-p2670,SF-BE-r2-p2722,SF-BE-r2-p2774,SF-BE-r2-p2826,SF-BE-r2-p2878,NA,NA,NA,NA,NA
Rw103,NA,NA,NA,SF-BE-r2-p1683,SF-BE-r2-p1735,SF-BE-r2-p1787,SF-BE-r2-p1839,SF-BE-r2-p1891,SF-BE-r2-p1943,SF-BE-r2-p1995,SF-BE-r2-p2047,SF-BE-r2-p2099,SF-BE-r2-p2151,SF-BE-r2-p2203,SF-BE-r2-p2255,SF-BE-r2-p2307,SF-BE-r2-p2359,SF-BE-r2-p2411,SF-BE-r2-p2463,SF-BE-r2-p2515,SF-BE-r2-p2567,SF-BE-r2-p2619,SF-BE-r2-p2671,SF-BE-r2-p2723,SF-BE-r2-p2775,SF-BE-r2-p2827,SF-BE-r2-p2879,NA,NA,NA,NA,NA
